"aid","author_last_name","author_fore_name"
746,"Kulwin","M H"
747,"Bauer","W"
748,"Crowley","R D"
749,"Jones","F"
750,"Kruger","C"
751,"Shah","S J"
752,"Anand","M P"
753,"Billimoria","A R"
754,"Goyal","B K"
755,"Yoo","T J"
756,"Freedman","M"
757,"Hofmann","T"
758,"Rhee","S"
759,"Yeger","H"
760,"Slaughter","M"
761,"Milandre","J"
762,"Shand","F L"
763,"Dutt","M K"
764,"Lalitha","K"
765,"Radhakrishnamurty","R"
766,"Prasad","N V"
767,"Sandhu","R S"
768,"Fine","D P"
769,"Cahall","D L"
770,"Youmans","G P"
771,"Guckian","J C"
772,"Davis","R H"
773,"Salton","M R"
774,"Smyth","C J"
775,"Möllby","R"
776,"Wadström","T"
777,"Winkelstein","J A"
778,"Swift","A J"
779,"Wagner","M V"
780,"Possanza","G J"
781,"Bauen","A"
782,"Stewart","P B"
783,"Horváth","I"
784,"Arányi","P"
785,"Náray","A"
786,"Földes","I"
787,"Gyuris","A"
788,"Cheek","F E"
789,"Tomarchio","T"
790,"Burtle","V"
791,"Moss","H"
792,"McConnell","D"
793,"Snow","J T"
794,"Finley","J W"
795,"Friedman","M"
796,"Byron","H M"
797,"Kraft","T"
798,"Keyser","G F"
799,"Boyarsky","S"
800,"Labay","P"
801,"Dougherty","E M"
802,"Vaughn","J L"
803,"Reichelderfer","C F"
804,"Tannock","G A"
805,"Griffith","I P"
806,"Tesh","R B"
807,"Rosen","L"
808,"Traub","Y M"
809,"Redmond","D P"
810,"Rosenfeld","J B"
811,"McDonald","R H"
812,"Shapiro","A P"
813,"Stevenson","A F"
814,"Chilla","R"
815,"Arold","R"
816,"Jahre","J A"
817,"Grace","W J"
818,"Greenbaum","D M"
819,"Sarg","M J"
820,"Freedman","P"
821,"Smith","E C"
822,"Wilson","J R"
823,"Bartley","E E"
824,"Anthony","H D"
825,"Brent","B E"
826,"Sapienza","D A"
827,"Chapman","T E"
828,"Dayton","A D"
829,"Milleret","R J"
830,"Frey","R A"
831,"Meyer","R M"
832,"Campion","D R"
833,"Olson","J C"
834,"Topel","D G"
835,"Christian","L L"
836,"Kuhlers","D L"
837,"Coon","R L"
838,"Rattenborg","C C"
839,"Kampine","J P"
840,"Chau","A S"
841,"Terry","K"
842,"Sahoo","R N"
843,"Mitra","G C"
844,"Mohanty","P C"
845,"Giffhorn","F"
846,"Gottschalk","G"
847,"Höltje","J V"
848,"Mirelman","D"
849,"Sharon","N"
850,"Schwarz","U"
851,"Allam","A M"
852,"Hassan","M M"
853,"Elzainy","T A"
854,"van der Drift","C"
855,"Duiverman","J"
856,"Bexkens","H"
857,"Krijnen","A"
858,"Cole","R"
859,"Proulx","P"
860,"Mehta","R J"
861,"Parada","J L"
862,"Magasanik","B"
863,"Gerson","S L"
864,"Elliott","B B"
865,"Mortenson","L E"
866,"DeLeo","A B"
867,"Sprinson","D B"
868,"Lacks","S"
869,"Neuberger","M"
870,"Hoganson","D A"
871,"Stahly","D P"
872,"Brockman","H L"
873,"Wood","W A"
874,"Tung","K K"
875,"Ebisu","S"
876,"Kato","K"
877,"Kotani","S"
878,"Misaki","A"
879,"Price","J S"
880,"Storck","R"
881,"Cabib","E"
882,"Duran","A"
883,"Anai","M"
884,"Mihara","T"
885,"Yamanaka","M"
886,"Shibata","T"
887,"Takagi","Y"
888,"Fujimoto","M"
889,"Mihara","S"
890,"Okabayashi","T"
891,"Sugase","T"
892,"Tarui","S"
893,"Miyazawa","S"
894,"Sakurai","T"
895,"Shindo","Y"
896,"Imura","M"
897,"Hashimoto","T"
898,"Kuwajima","K"
899,"Sugai","S"
900,"Matsuda","K"
901,"Misaka","E"
902,"Shimizu","T"
903,"Horiike","K"
904,"Nishina","Y"
905,"Miyake","Y"
906,"Yamano","T"
907,"Ogiso","T"
908,"Noda","T"
909,"Sako","Y"
910,"Kato","Y"
911,"Aoyama","M"
912,"Sarau","H M"
913,"Foley","J"
914,"Moonsammy","G"
915,"Wiebelhaus","V D"
916,"Yoshizato","K"
917,"Kistler","A"
918,"Frieden","E"
919,"Shikita","M"
920,"Barton","N W"
921,"Lipovac","V"
922,"Rosenberg","A"
923,"Leung","K H"
924,"Hinkle","P C"
925,"Ragan","C I"
926,"Lueking","D R"
927,"Goldfine","H"
928,"Nilsson","S F"
929,"Peterson","P A"
930,"Tai","T"
931,"Yamashita","K"
932,"Ogata-Arakawa","M"
933,"Koide","N"
934,"Muramatsu","T"
935,"Iwashita","S"
936,"Inoue","Y"
